UserId,Weather,Clothing,Event,Season,Rating
15,Sunny,Sweater,Family Event,Spring,3.0
15,Windy,Hoodie,School,Winter,5.0
15,Cold,T-shirt,Casual Outing,Winter,5.0
15,Cold,Polo,Work,Winter,4.0
15,Sunny,Cardigan,Family Event,Spring,5.0
16,Hot,Hoodie,School,Summer,5.0
16,Rainy,T-shirt,Shopping,Spring,4.0
16,Cold,Jacket,Travel,Winter,3.0
16,Cold,Shorts,Gym,Winter,4.0
16,Sunny,Hoodie,School,Spring,4.0
16,Cold,Jeans,Casual Outing,Winter,4.0
16,Windy,Sweater,Casual Home,Fall,4.0
16,Hot,Jeans,Casual Outing,Summer,3.0
17,Sunny,Polo,Work,Spring,5.0
17,Windy,Jeans,Casual Outing,Fall,4.0
17,Hot,Shorts,Exercise,Summer,3.0
17,Sunny,T-shirt,Casual Outing,Spring,5.0
17,Sunny,Jacket,Travel,Spring,5.0
17,Windy,Jeans,Casual Outing,Winter,4.0
17,Cold,Hoodie,School,Winter,4.0
17,Sunny,Pants,Work,Spring,5.0
18,Cold,Sweater,Casual Home,Winter,5.0
18,Sunny,T-shirt,Casual Outing,Spring,4.0
18,Hot,Hoodie,School,Summer,3.0
18,Hot,Shorts,Exercise,Summer,4.0
18,Cold,Pants,Work,Winter,4.0
18,Sunny,Jacket,Travel,Spring,5.0
18,Windy,Jacket,Travel,Fall,3.0
18,Hot,T-shirt,Casual Outing,Summer,5.0
19,Hot,Pants,Work,Summer,5.0
19,Rainy,Jacket,Travel,Fall,4.0
19,Cold,Shorts,Gym,Winter,3.0
19,Windy,Hoodie,School,Winter,5.0
19,Cold,T-shirt,Casual Outing,Winter,5.0
19,Hot,Polo,Casual Outing,Summer,3.0
19,Rainy,Hoodie,School,Fall,4.0
19,Sunny,Hoodie,School,Spring,5.0
20,Sunny,Hoodie,School,Spring,5.0
20,Windy,Blazer,Work,Winter,4.0
20,Hot,Polo,Casual Outing,Summer,3.0
20,Rainy,Pants,Work,Fall,4.0
20,Cold,T-shirt,Casual Outing,Winter,5.0
20,Cold,Jeans,Casual Outing,Winter,5.0
20,Hot,Hoodie,School,Summer,4.0
20,Windy,Blazer,Work,Winter,4.0
21,Sunny,T-shirt,Casual Outing,Spring,4.0
21,Hot,Shorts,Exercise,Summer,5.0
21,Rainy,Hoodie,School,Fall,4.0
21,Cold,Pants,Work,Winter,3.0
21,Windy,Blazer,Work,Winter,4.0
21,Sunny,Shorts,Beach,Summer,5.0
21,Cold,Jacket,Travel,Winter,4.0
21,Sunny,Sweater,Family Event,Spring,5.0
21,Hot,T-shirt,Casual Outing,Summer,4.0
21,Rainy,Sweater,Casual Home,Fall,3.0
22,Windy,Polo,Work,Fall,4.0
22,Sunny,Hoodie,School,Spring,5.0
22,Cold,Pants,Work,Winter,4.0
22,Hot,Jeans,Casual Outing,Summer,3.0
22,Sunny,Shorts,Beach,Summer,4.0
22,Rainy,Cardigan,Family Event,Fall,5.0
22,Cold,Jeans,Casual Outing,Winter,5.0
22,Hot,Polo,Casual Outing,Summer,4.0
22,Windy,Jacket,Travel,Winter,4.0
22,Sunny,T-shirt,Casual Outing,Spring,5.0
23,Cold,Sweater,Casual Home,Winter,5.0
23,Hot,Hoodie,School,Summer,4.0
23,Sunny,Cardigan,Family Event,Spring,4.0
23,Rainy,Pants,Work,Fall,3.0
23,Windy,T-shirt,Shopping,Fall,5.0
23,Sunny,Pants,Work,Spring,5.0
23,Hot,Shorts,Exercise,Summer,3.0
23,Cold,Jacket,Travel,Winter,5.0
23,Rainy,Hoodie,School,Fall,4.0
23,Sunny,T-shirt,Casual Outing,Spring,4.0
24,Hot,Sweater,Family Event,Summer,4.0
24,Sunny,Blazer,Work,Spring,5.0
24,Cold,T-shirt,Casual Outing,Winter,3.0
24,Windy,Jeans,Casual Outing,Fall,4.0
24,Rainy,Jacket,Travel,Fall,5.0
24,Hot,Hoodie,School,Summer,5.0
24,Sunny,T-shirt,Casual Outing,Spring,5.0
24,Cold,Pants,Work,Winter,4.0
24,Windy,Hoodie,School,Winter,4.0
24,Sunny,Shorts,Beach,Summer,5.0
