UserId,Weather,Clothing,Rating
4,Hot,Hoodie,4.0
5,Cold,Shorts,5.0
6,Sunny,T-shirt,4.0
7,Hot,Hoodie,5.0
8,Windy,Shorts,4.0
9,Cold,T-shirt,5.0
10,Sunny,Hoodie,4.0
11,Hot,Jacket,5.0
12,Cold,Sweater,4.0
13,Sunny,Pants,5.0
14,Hot,T-shirt,4.0
15,Windy,Hoodie,5.0
16,Cold,Jeans,4.0
17,Sunny,Jacket,5.0
18,Hot,Shorts,4.0
19,Cold,T-shirt,5.0
20,Sunny,Hoodie,4.0
1,Windy,Hoodie,4.0
2,Rainy,Cardigan,3.0
3,Sunny,Jacket,5.0
4,Hot,Jeans,4.0
5,Cold,Sweater,5.0
6,Windy,Shorts,3.0
7,Rainy,T-shirt,4.0
8,Sunny,Polo,5.0
9,Hot,Blazer,4.0
10,Cold,Hoodie,5.0
11,Windy,Jeans,3.0
12,Sunny,Shorts,5.0
13,Rainy,Sweater,4.0
14,Hot,Jacket,5.0
15,Cold,Cardigan,4.0
16,Windy,Pants,5.0
17,Sunny,Blazer,4.0
18,Hot,Jeans,3.0
19,Rainy,Hoodie,4.0
20,Cold,T-shirt,5.0
1,Sunny,Pants,3.0
2,Windy,Blazer,4.0
3,Cold,Sweater,5.0
4,Hot,Shorts,4.0
5,Sunny,Jeans,5.0
6,Rainy,T-shirt,3.0
7,Cold,Jacket,4.0
8,Windy,Cardigan,5.0
9,Sunny,Hoodie,4.0
10,Hot,Jeans,5.0
11,Cold,Shorts,3.0
12,Windy,Sweater,4.0
13,Hot,T-shirt,5.0
14,Sunny,Polo,4.0
15,Cold,Hoodie,5.0
16,Hot,Sweater,3.0
17,Windy,Jeans,4.0
18,Sunny,Jacket,5.0
19,Hot,Polo,3.0
20,Cold,Blazer,4.0
1,Rainy,Blazer,4.0
1,Cold,Long Sleeve,3.0
2,Sunny,Hoodie,5.0
2,Hot,Jeans,4.0
3,Windy,T-shirt,3.0
3,Cold,Pants,5.0
4,Hot,Sweater,4.0
4,Sunny,Cardigan,5.0
5,Windy,Polo,3.0
5,Cold,Jacket,4.0
6,Hot,Blazer,5.0
6,Sunny,Hoodie,4.0
7,Cold,Sweater,5.0
7,Windy,Pants,3.0
8,Sunny,T-shirt,4.0
8,Rainy,Hoodie,5.0
9,Cold,Jeans,4.0
9,Hot,Cardigan,3.0
10,Windy,Jacket,5.0
10,Sunny,Shorts,4.0
11,Cold,Hoodie,3.0
11,Sunny,Polo,5.0
12,Hot,T-shirt,4.0
12,Rainy,Sweater,3.0
13,Cold,Jacket,5.0
13,Sunny,Hoodie,4.0
14,Hot,Blazer,3.0
14,Windy,T-shirt,5.0
15,Cold,Polo,4.0
15,Sunny,Cardigan,5.0
16,Hot,Jeans,3.0
16,Windy,Sweater,4.0
17,Sunny,Pants,5.0
17,Cold,Hoodie,4.0
18,Hot,T-shirt,5.0
18,Windy,Jacket,3.0
19,Cold,Sweater,4.0
19,Sunny,Shorts,5.0
20,Hot,Hoodie,4.0
20,Cold,Jeans,5.0
